"EST","DTO","MUN","SECC","date","est.punt","cota.inf","cota.sup"
"15","5","2","58",2030-03-01,25081.2183505961,24332.1105921206,25830.3261090715
"15","5","2","58",2030-04-01,25147.8368575337,24397.1613466357,25898.5123684317
"15","5","2","58",2030-05-01,25214.4553644714,24462.2059253228,25966.7048036199
"15","5","2","58",2030-06-01,25281.073871409,24527.2443668657,26034.9033759523
"15","5","2","58",2030-07-01,25347.6923783467,24592.2767097747,26103.1080469187
"2","3","1","126",2020-01-01,16544.4361344538,15887.1125070376,17201.7597618699
"2","3","1","126",2020-02-01,16594.5669337502,15936.7102691111,17252.4235983893
"2","3","1","126",2020-03-01,16644.6977330467,15986.2962239932,17303.0992421002
"2","3","1","126",2020-04-01,16694.8285323432,16035.8704009715,17353.7866637149
"2","3","1","126",2020-05-01,16744.9593316396,16085.4328298665,17404.4858334128
"2","3","1","126",2020-06-01,16795.0901309361,16134.9835410246,17455.1967208476
"2","3","1","126",2020-07-01,16845.2209302326,16184.52256531,17505.9192951551
"2","3","1","126",2020-08-01,16895.351729529,16234.0499340973,17556.6535249608
"2","3","1","126",2020-09-01,16945.4825288255,16283.5656792632,17607.3993783878
"2","3","1","126",2020-10-01,16995.6133281219,16333.0698331793,17658.1568230646
"2","3","1","126",2020-11-01,17045.7441274184,16382.5624287034,17708.9258261334
"2","3","1","126",2020-12-01,17095.8749267149,16432.0434991722,17759.7063542576
"2","3","1","126",2021-01-01,17146.0057260113,16481.5130783925,17810.4983736301
"2","3","1","126",2021-02-01,17196.1365253078,16530.9712006337,17861.3018499819
"2","3","1","126",2021-03-01,17246.2673246043,16580.4179006191,17912.1167485894
"2","3","1","126",2021-04-01,17296.3981239007,16629.853213518,17962.9430342835
"2","3","1","126",2021-05-01,17346.5289231972,16679.2771749371,18013.7806714573
"2","3","1","126",2021-06-01,17396.6597224936,16728.6898209124,18064.6296240749
"2","3","1","126",2021-07-01,17446.7905217901,16778.0911879009,18115.4898556793
"2","3","1","126",2021-08-01,17496.9213210866,16827.4813127717,18166.3613294015
"2","3","1","126",2021-09-01,17547.052120383,16876.8602327982,18217.2440079679
